AnalysisID,Date,PlotKey,Location,Plot,SubPlot,Block,Rotation,Tillage,NitrateN,Depth,CropName,Year,Winter,Cover,winter
222221848,2022-03-24,20406,2,4,6,1,R5,P,12.74,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221860,2022-03-24,21406,2,14,6,1,R3,D1,12.16,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221859,2022-03-24,21401,2,14,1,1,R3,D1,1.65,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221858,2022-03-24,21306,2,13,6,1,R3,H,12.23,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221857,2022-03-24,21301,2,13,1,1,R3,H,13.35,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221856,2022-03-24,20806,2,8,6,1,R4,D1,12.5,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221855,2022-03-24,20801,2,8,1,1,R4,D1,6.58,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221854,2022-03-24,20706,2,7,6,1,R4,H,13.84,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221853,2022-03-24,20701,2,7,1,1,R4,H,10.06,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221852,2022-03-24,20606,2,6,6,1,R4,P,9.06,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221851,2022-03-24,20601,2,6,1,1,R4,P,8.12,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221837,2022-03-24,20211,2,2,1,1,R5,D2,18.16,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221849,2022-03-24,20501,2,5,1,1,R4,D2,6.2,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221863,2022-03-24,21601,2,16,1,1,R3,D2,6.02,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221847,2022-03-24,20416,2,4,6,1,R5,P,15.48,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221846,2022-03-24,20401,2,4,1,1,R5,P,6.88,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221845,2022-03-24,20411,2,4,1,1,R5,P,15.19,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221844,2022-03-24,20306,2,3,6,1,R5,H,12.85,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221843,2022-03-24,20316,2,3,6,1,R5,H,14.56,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221842,2022-03-24,20301,2,3,1,1,R5,H,5.28,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221841,2022-03-24,20311,2,3,1,1,R5,H,20.27,-2 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221840,2022-03-24,20206,2,2,6,1,R5,D2,11.42,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221839,2022-03-24,20216,2,2,6,1,R5,D2,16.01,-2 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221785,2022-03-24,20500,2,5,0,1,R4,D2,7.69,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221850,2022-03-24,20506,2,5,6,1,R4,D2,15.01,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221874,2022-03-24,22110,2,21,10,2,R3,P,12.05,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221886,2022-03-24,22710,2,27,10,2,R4,D2,8.85,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221885,2022-03-24,22705,2,27,5,2,R4,D2,11.7,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221884,2022-03-24,22610,2,26,10,2,R4,H,6.06,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221883,2022-03-24,22605,2,26,5,2,R4,H,12.83,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221882,2022-03-24,22510,2,25,10,2,R4,P,3.98,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221881,2022-03-24,22505,2,25,5,2,R4,P,13.77,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221880,2022-03-24,22410,2,24,10,2,R3,H,1.52,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221879,2022-03-24,22405,2,24,5,2,R3,H,9.66,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221878,2022-03-24,22310,2,23,10,2,R3,D2,6.59,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221877,2022-03-24,22305,2,23,5,2,R3,D2,8.81,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221861,2022-03-24,21501,2,15,1,1,R3,P,7.33,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221875,2022-03-24,22205,2,22,5,2,R3,D1,24.7,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221862,2022-03-24,21506,2,15,6,1,R3,P,15.47,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221873,2022-03-24,22105,2,21,5,2,R3,P,16.75,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221872,2022-03-24,20410,2,4,10,1,R5,P,5.85,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221871,2022-03-24,20420,2,4,10,1,R5,P,3.75,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221870,2022-03-24,20310,2,3,10,1,R5,H,5.79,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221869,2022-03-24,20320,2,3,10,1,R5,H,38.6,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221868,2022-03-24,20210,2,2,10,1,R5,D2,9.6,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221867,2022-03-24,20220,2,2,10,1,R5,D2,16.26,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221866,2022-03-24,20110,2,1,10,1,R5,D1,9.01,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221865,2022-03-24,20120,2,1,10,1,R5,D1,13.27,-2 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221864,2022-03-24,21606,2,16,6,1,R3,D2,12.5,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221836,2022-03-24,20106,2,1,6,1,R5,D1,14.83,-1 m,Startaar,2022,2021,Bar jord,2021 - 2022
222221876,2022-03-24,22210,2,22,10,2,R3,D1,10.28,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221796,2022-03-24,22400,2,24,0,2,R3,H,4.83,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221808,2022-03-24,22800,2,28,0,2,R4,D1,3.57,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221807,2022-03-24,22700,2,27,0,2,R4,D2,8.14,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221806,2022-03-24,22600,2,26,0,2,R4,H,4.04,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221805,2022-03-24,22500,2,25,0,2,R4,P,6.22,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221804,2022-03-24,21600,2,16,0,1,R3,D2,7.96,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221803,2022-03-24,21500,2,15,0,1,R3,P,1.97,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221802,2022-03-24,21400,2,14,0,1,R3,D1,2.99,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221801,2022-03-24,21300,2,13,0,1,R3,H,7.3,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221800,2022-03-24,21200,2,12,0,1,R2,H,7.25,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221799,2022-03-24,21100,2,11,0,1,R2,P,3.56,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221838,2022-03-24,20201,2,2,1,1,R5,D2,9.07,-1 m,Startaar,2022,2021,Ukrudt+Spildf.,2021 - 2022
222221797,2022-03-24,20900,2,9,0,1,R2,D2,6.37,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221812,2022-03-24,23600,2,36,0,3,R3,D2,6.48,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221795,2022-03-24,22300,2,23,0,2,R3,D2,4.62,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221794,2022-03-24,22200,2,22,0,2,R3,D1,6.02,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221793,2022-03-24,22100,2,21,0,2,R3,P,4,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
222221792,2022-03-24,22000,2,20,0,2,R2,D2,14.78,-1 m,Startaar,2022,2021,Ref./Efterafg.,2021 - 2022
